origin_id,origin_label,facility_id,facility_name,mode,distance_km,estimated_minutes,outdoor_minutes,transfers,slope_level,entrance_distance_m,status,route_source,collected_at
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH358,의료법인 삼세의료재단 삼세한방병원,pedestrian,1.652,20.9,20.9,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH360,다움병원,pedestrian,6.082,78.3,78.3,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH340,의료법인 천지의료재단 금샘요양병원,pedestrian,3.38,44.2,44.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH332,지온병원,pedestrian,6.956,82.7,82.7,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH333,더케이부산병원,pedestrian,4.407,52.1,52.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH334,화창한병원,pedestrian,5.653,66.6,66.6,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH335,단골병원,pedestrian,6.691,79.0,79.0,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH337,더희망찬병원,pedestrian,6.926,82.1,82.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH339,부산마이크로병원,pedestrian,5.919,70.2,70.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH344,순병원,pedestrian,2.646,31.2,31.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH346,온사랑병원,pedestrian,7.685,94.1,94.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH347,메드윌병원,pedestrian,2.646,31.2,31.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH349,새우리병원,pedestrian,6.691,79.0,79.0,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH351,의료법인아너의료재단 아름다운강산병원,pedestrian,9.568,115.7,115.7,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH359,세웅병원,pedestrian,8.32,101.4,101.4,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH358,의료법인 삼세의료재단 삼세한방병원,pedestrian,2.646,31.2,31.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH360,다움병원,pedestrian,2.957,35.5,35.5,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
청룡선두생활권_노포역,"노포, 중앙대로, 노포동, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국",GJH340,의료법인 천지의료재단 금샘요양병원,pedestrian,1.512,20.4,20.4,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
